z,xv,yv,zv,label
-0.0047055,-0.00065592,6.1436e-05,-1.6262e-05,1
-0.0046928,-0.00052402,-0.0014698,0.00015088,1
-0.0046879,1.6229e-05,0.0009811,5.8037e-05,1
-0.0046713,0.00060384,0.00074666,0.00019836,1
-0.0046666,0.00065858,0.001073,5.6451e-05,1
-0.0046168,-0.0012995,-0.00056373,0.00059636,1
-0.0046157,0.00024237,-0.0011873,1.3932e-05,1
-0.0046606,0.0023453,0.0014076,-0.00053789,1
-0.0046217,-0.0011125,-0.00040688,0.00046815,1
-0.0045953,-0.00095761,-0.0014551,0.00031769,1
-0.0046342,-5.4155e-06,0.0011129,-0.00046464,1
-0.0046709,0.0003826,-0.00050016,-0.00044121,1
-0.0046628,-0.00031018,-0.00012576,9.9667e-05,1
-0.0046775,0.00078391,0.00040858,-0.00017354,1
-0.0046663,-0.00074873,-0.0011042,0.0001334,1
-0.0046617,0.00046201,0.0018687,5.5507e-05,1
-0.0046306,0.0021793,-2.8507e-06,0.00037252,1
-0.0046222,-0.0026986,-0.0012798,0.00010283,1
-0.0046697,0.0003427,0.00025311,-0.00056637,1
-0.0047051,-0.00072952,0.00032572,-0.00042565,1
-0.0047358,-0.00030797,-0.00099051,-0.00036655,1
-0.0047604,0.0014057,0.0017428,-0.00029514,1
-0.0046978,-0.0011352,-0.0012883,0.00074781,1
-0.0046673,-0.00084004,-0.00093804,0.00036617,1
-0.0046709,0.0007043,0.0013482,-4.4999e-05,1
-0.0046928,0.00069902,-0.0007492,-0.00025627,1
-0.0046728,-0.00049005,-0.00051052,0.00024041,1
-0.0046964,0.00012669,0.0017964,-0.00028255,1
-0.0046747,0.00077483,-0.0001948,0.00026107,1
-0.0046282,-0.00091667,-0.00058017,0.00055847,1
-0.0046389,-0.00065981,-0.00052062,-0.00012846,1
-0.0046398,0.00090929,0.00054296,-1.0937e-05,1
-0.0046255,0.00040588,-0.00051039,0.0001725,1
-0.0046587,-0.0001142,-0.00027079,-0.00039832,1
-0.0046661,-0.0010588,0.00050536,-8.8997e-05,1
-0.004684,0.0022043,0.00016206,-0.00021434,1
-0.0046729,-0.002227,0.00038466,0.00013292,1
-0.0046547,0.00055975,-0.00013402,0.00021792,1
-0.0046835,0.00049697,-0.00039846,-0.00034702,1
-0.0046987,0.00072427,6.1432e-05,-0.00018087,1
-0.0047044,-0.0010416,-0.00031801,-6.9006e-05,1
-0.0046787,-0.0016654,-0.00019044,0.00031039,1
-0.0047139,0.001569,0.0010141,-0.00041814,1
-0.0047199,-0.00050304,-0.0010386,-7.218e-05,1
-0.0047179,0.00048017,0.00047697,2.4261e-05,1
-0.0047485,0.0011279,0.00071974,-0.00036567,1
-0.0047342,-0.00085732,-0.0022358,0.00017302,1
-0.0047002,-0.00035752,0.00039184,0.00040745,1
-0.0047053,-0.00091018,-0.00013787,-6.0623e-05,1
-0.0046856,0.00028467,-0.00066544,0.00024323,1
-0.0046961,1.3186e-05,0.00063139,-0.00012798,1
-0.0046878,5.8437e-05,0.00023125,9.9812e-05,1
-0.0046775,-0.00052627,-0.00024464,0.00012449,1
-0.0046549,0.0010022,0.00030605,0.00027051,1
-0.0046625,0.00061975,0.00053558,-9.1817e-05,1
-0.0046728,-7.8645e-05,-8.162e-05,-0.00012351,1
-0.0046781,-0.00050898,-0.0002731,-6.352e-05,1
-0.0047033,-0.0010407,-0.00015877,-0.00030161,1
-0.0046996,0.0015382,0.00036853,4.271e-05,1
-0.0046749,-0.00060847,-0.00051224,0.00029602,1
-0.0046799,-0.00060121,0.0012278,-5.9232e-05,1
-0.0046552,0.00077539,-0.00035368,0.00029495,1
-0.0046679,0.0011147,0.00032741,-0.00015155,1
-0.0046925,-0.00076496,0.00034856,-0.00029477,1
-0.0047151,-0.00079594,-0.0010834,-0.00027205,1
-0.0047584,0.00086244,0.0020194,-0.00052114,1
-0.0047447,-0.00066667,-0.0022969,0.00016392,1
-0.0046884,2.6685e-05,-1.184e-05,0.00067784,1
-0.0046816,-0.0011985,-8.1191e-05,8.1557e-05,1
-0.0046704,0.00078523,0.00021412,0.00013418,1
-0.0047018,0.00040661,0.00055829,-0.00037694,1
-0.0047088,-0.00019085,-0.00083042,-8.4391e-05,1
-0.0047233,0.0006789,0.0016085,-0.00017405,1
-0.0046437,-3.5095e-05,-0.0013998,0.00095829,1
-0.0046277,-0.00072364,-0.00036846,0.00019129,1
-0.0046496,0.00092556,0.0017034,-0.00026244,1
-0.0046496,-0.00060083,-0.00059941,1.1582e-06,1
-0.0046823,-0.00086445,-0.001289,-0.00039718,1
-0.0046962,0.0009045,0.00041494,-0.00016701,1
-0.0046814,-0.00074409,0.00054507,0.00017708,1
-0.0046698,0.00099249,0.00022238,0.0001378,1
-0.0046547,-7.7188e-05,0.00026411,0.00018125,1
-0.0046581,-0.0014422,-0.0015839,-4.1705e-05,1
-0.004692,0.0010509,0.0016017,-0.00040612,1
-0.0047188,0.001176,-0.00022402,-0.00032211,1
-0.0047367,-0.0013407,-0.0012724,-0.0002161,1
-0.0047428,0.00076601,0.0016158,-7.2485e-05,1
-0.0047047,0.00052101,-0.0021936,0.00045573,1
-0.0047302,0.00013737,0.001202,-0.00030567,1
-0.0047303,-0.0017007,-0.00025653,-8.8582e-07,1
-0.0047568,0.0011065,-0.00029662,-0.00031903,1
-0.0047625,-0.00031402,0.00041524,-6.9053e-05,1
-0.0047657,0.0012389,0.00045342,-3.7696e-05,1
-0.0047302,-0.00038296,-0.00086691,0.00042445,1
-0.0047314,-0.00012718,5.1321e-05,-1.504e-05,1
-0.0047086,-0.0022638,-0.0014521,0.00027592,1
-0.0047523,-0.00033685,0.00090657,-0.00052139,1
-0.0047874,0.0012032,0.0010646,-0.00042472,1
-0.004783,-0.00076271,0.00014336,5.2908e-05,1
-0.0047833,0.0027001,0.00027839,-3.7009e-06,1
-0.0047314,-0.0010646,-6.8782e-05,0.00062217,1
-0.0046991,-0.00065205,-0.0009095,0.00038821,1
-0.0046982,-8.7895e-06,2.8308e-06,-1.0223e-07,1
-0.0047342,-0.00042544,-0.00035885,-0.00042884,1
-0.0047467,-0.00093077,9.4501e-05,-0.00015137,1
-0.004763,0.00042263,0.00028388,-0.00019505,1
-0.0047344,-0.00014403,0.0012879,0.00034402,1
